crimetype,sentence
Theft,2 years imprisonment
Burglary,3 years imprisonment
Assault,4 years imprisonment
Fraud,5 years imprisonment and $50000 fine
Drug possession,1 year imprisonment and mandatory rehab
Arson,7 years imprisonment
Murder,Life imprisonment
Manslaughter,10 years imprisonment
Robbery,6 years imprisonment
Embezzlement,4 years imprisonment and $100000 restitution
Sexual assault,8 years imprisonment
Domestic violence,3 years imprisonment and counseling
Identity theft,2 years imprisonment and $25000 fine
Vandalism,6 months imprisonment and community service
Money laundering,7 years imprisonment
Cybercrime,5 years imprisonment and computer usage ban
Hit and run,3 years imprisonment and license suspension
Kidnapping,15 years imprisonment
Perjury,2 years imprisonment
Tax evasion,3 years imprisonment and $75000 fine
Illegal gambling,1 year imprisonment and $10000 fine
Counterfeiting,5 years imprisonment
Public intoxication,90 days imprisonment and fine
Animal cruelty,1 year imprisonment and ban on pet ownership
Bribery,4 years imprisonment and $50000 fine
Illegal possession of firearms,3 years imprisonment
Terrorism,20 years imprisonment
Human trafficking,25 years imprisonment
Driving under influence (DUI),1 year imprisonment and license suspension
Resisting arrest,6 months imprisonment
Forgery,2 years imprisonment and restitution
Trespassing,6 months imprisonment and fine
Stalking,2 years imprisonment and restraining order
Shoplifting,1 year imprisonment or fine
Extortion,5 years imprisonment
Cyberbullying,1 year imprisonment and community service
Illegal dumping,2 years imprisonment and heavy fines
Environmental pollution,3 years imprisonment and remediation costs
Child neglect,4 years imprisonment and loss of custody
False imprisonment,3 years imprisonment
Illegal border crossing,1 year imprisonment and deportation
Contempt of court,6 months imprisonment
Armed robbery,10 years imprisonment
Insider trading,7 years imprisonment and large fines
Smuggling,8 years imprisonment
Drug trafficking,10 years imprisonment
Harassment,1 year imprisonment and restraining order
Assault with a deadly weapon,8 years imprisonment
Illegal wiretapping,3 years imprisonment
Illegal surveillance,2 years imprisonment
Credit card fraud,3 years imprisonment and restitution
Blackmail,5 years imprisonment
Tax fraud,4 years imprisonment and fines
Copyright infringement,1 year imprisonment and fines
Illegal protest,90 days imprisonment
Vehicular manslaughter,7 years imprisonment
Attempted murder,15 years imprisonment
Sex trafficking,20 years imprisonment
Forgery of government documents,4 years imprisonment
Illegal sale of prescription drugs,5 years imprisonment
Cyber theft,6 years imprisonment
Illegal mining,3 years imprisonment and fines
Money counterfeiting,7 years imprisonment
Violation of probation,1 year imprisonment
Misdemeanor assault,1 year imprisonment
Public nuisance,6 months imprisonment or fine
Illegal possession of narcotics,3 years imprisonment
Fraudulent bankruptcy,5 years imprisonment
Hate crime,4 years imprisonment
Illegal animal trade,3 years imprisonment
Bank robbery,12 years imprisonment
Illegal fishing,2 years imprisonment and fines
Counterfeit goods distribution,5 years imprisonment
Illegal logging,4 years imprisonment
Drug manufacturing,10 years imprisonment
Illegal arms trafficking,15 years imprisonment
Cyber espionage,10 years imprisonment
Bribery of public officials,7 years imprisonment
Illegal betting,1 year imprisonment and fines
Conspiracy to commit crime,5 years imprisonment
Smuggling of goods,6 years imprisonment
False advertising,6 months imprisonment and fines
Insurance fraud,4 years imprisonment
Illegal possession of explosives,7 years imprisonment
Sexual harassment,1 year imprisonment and workplace ban
Voter fraud,2 years imprisonment
Illegal wire transfer,3 years imprisonment
Animal fighting,3 years imprisonment
Illegal dumping of hazardous waste,5 years imprisonment and fines
Assault on a police officer,10 years imprisonment
Illegal possession of stolen property,4 years imprisonment
Attempted burglary,3 years imprisonment
Operating without a license,6 months imprisonment and fines
Cyber stalking,2 years imprisonment
Illegal drug manufacture,8 years imprisonment
Impersonation,1 year imprisonment and fines
Illegal surveillance of communications,4 years imprisonment
Illegal import/export of endangered species,5 years imprisonment
Child pornography possession,15 years imprisonment
Tax avoidance,fines and penalties
Public corruption,10 years imprisonment
Illegal wire fraud,5 years imprisonment
Armed assault,12 years imprisonment
Illegal possession of counterfeit currency,6 years imprisonment
Illegal betting operation,2 years imprisonment
Forgery of legal documents,4 years imprisonment
Illegal hacking,7 years imprisonment
Cyberterrorism,15 years imprisonment
Illegal poaching,3 years imprisonment and heavy fines
