species,region,lifetime,endangered
African Elephant,Eastern Africa,60-70,Endangered
Bald Eagle,Northern America,20-30,Least Concern
Giant Panda,Eastern Asia,20-30,Endangered
Komodo Dragon,Southern Asia,20-30,Vulnerable
Red Kangaroo,Australia and New Zealand,8-12,Least Concern
Polar Bear,Northern Europe,20-25, vulnerable
Jaguar,South America,12-15,Near Threatened
Mountain Gorilla,Middle Africa,35-40,Endangered
Siberian Tiger,Eastern Asia,15-20,Endangered
Orangutan,South Eastern Asia,30-40,Endangered
Koala,Australia and New Zealand,10-12, Vulnerable
Cheetah,Southern Africa,10-12, Vulnerable
Indian Elephant,Southern Asia,60-70,Endangered
Snow Leopard,Central Asia,15-20,Near Threatened
Peregrine Falcon,Northern America,13-15,Least Concern
Wolves,Northern America,6-8,Least Concern
Giraffe,Southern Africa,25-30,Least Concern
Lion,Eastern Africa,12-16, Vulnerable
Giant Tortoise,Caribbean,100-200,Vulnerable
Crocodile,Southern Asia,50-70,Least Concern
Tibetan Antelope,Central Asia,15-20,Near Threatened
Humpback Whale,Western Africa,45-50,Least Concern
Dolphin,Western Europe,30-50,Least Concern
Meerkat,Southern Africa,6-8,Least Concern
Zebra,Eastern Africa,20-25,Least Concern
Pygmy Hippopotamus,Western Africa,25-30,Endangered
Black Rhinoceros,Eastern Africa,30-40,Endangered
Grey Wolf,Western Europe,6-8,Least Concern
Bison,Northern Europe,12-15,Near Threatened
Eurasian Brown Bear,Northern Europe,20-30,Least Concern
Red Fox,Western Europe,3-6,Least Concern
Ostrich,Eastern Africa,30-40,Least Concern
Chinchilla,South America,10-15,Near Threatened
Mountain Lion,Northern America,10-12,Least Concern
Harpy Eagle,Central America,25-30,Near Threatened
Moose,Northern America,15-20,Least Concern
Sloth,South America,20-25,Least Concern
Swan,Eastern Europe,10-15,Least Concern
Caiman,South America,35-40,Least Concern
Emperor Penguin,Antarctica,15-20,Least Concern
Bearded Vulture,Eastern Europe,20-30,Near Threatened
Sea Turtle,Western Africa,50-100,Endangered
Elephant Seal,Western Europe,20-25,Least Concern
Gray Whale,Northern America,50-70,Least Concern
Mandrill,Middle Africa,30-40,Near Threatened
Panda,South Eastern Asia,20-30,Endangered
Wild Boar,Western Europe,10-12,Least Concern
Binturong,Southern Asia,20-25,Near Threatened
Gibbon,South Eastern Asia,20-25,Endangered
Gnu,Eastern Africa,15-20,Least Concern
Ibex,Western Europe,15-20,Least Concern
Arctic Fox,Northern Europe,3-6,Least Concern
Bald Ibis,Middle Africa,10-20,Near Threatened
Coyote,Northern America,10-14,Least Concern
Kangaroo Rat,Australia and New Zealand,2-4,Least Concern
Pygmy Goat,Western Europe,10-12,Least Concern
Hippopotamus,Eastern Africa,40-50,Near Threatened
Bison,Northern America,10-15,Least Concern
Pufferfish,South America,5-10,Least Concern
Lynx,Northern Europe,12-15,Least Concern
Manta Ray,Western Africa,15-20,Near Threatened
Cuttlefish,South Eastern Asia,2-3,Least Concern
Turtle,South America,50-70,Least Concern
Leopard,South Eastern Asia,12-15,Near Threatened
Crocodile,Western Africa,30-40,Least Concern
Rhinoceros,Eastern Africa,30-40,Endangered
Golden Eagle,Eastern Europe,30-35,Least Concern
Wolverine,Northern Europe,8-12,Least Concern
Manatee,South America,40-60,Threatened
Llama,South America,15-20,Least Concern
Cougar,Northern America,10-15,Least Concern
Grizzly Bear,Northern America,20-25,Least Concern
Peafowl,South Eastern Asia,10-15,Least Concern
Secretary Bird,Southern Africa,25-30,Least Concern
Mole,Western Europe,3-5,Least Concern
Albatross,Western Europe,50-60,Least Concern
Bald Eagle,Northern America,20-30,Least Concern
European Hedgehog,Western Europe,3-5,Least Concern
Antelope,Eastern Africa,12-15,Least Concern
Killer Whale,South America,30-50,Least Concern
Beetle,Western Europe,1-2,Least Concern
Flying Fox,Western Asia,5-10,Near Threatened
Buffalo,Southern Africa,15-20,Least Concern
Ocelot,Central America,10-15,Near Threatened
Mole,Western Europe,2-3,Least Concern
Indian Star Tortoise,Southern Asia,50-55,Endangered
Lynx,South Eastern Asia,10-12,Near Threatened
Asian Elephant,Southern Asia,60-70,Endangered
Arctic Hare,Northern Europe,5-10,Least Concern
Griffon Vulture,Western Europe,20-25,Near Threatened
Otter,South America,10-12,Least Concern
Pygmy Hippopotamus,Western Africa,30-35,Endangered
Penguin,Antarctica,15-20,Least Concern
Tarsier,South Eastern Asia,10-12,Endangered
Jaguarundi,South America,12-15,Least Concern
Giant Salamander,Eastern Asia,50-55,Least Concern
Red Panda,Eastern Asia,8-10,Endangered
Mantis Shrimp,Southern Asia,6-11,Least Concern
Tapir,South America,25-30,Endangered
Pangolin,Southern Asia,20-25,Endangered
Mole Rat,Western Africa,3-4,Least Concern
Snowy Owl,Northern Europe,10-15,Least Concern
Macaw,South America,30-50,Near Threatened
Dromedary Camel,Northern Africa,40-50,Least Concern
Wallaby,Australia and New Zealand,10-15,Least Concern
Hawk,Northern America,15-20,Least Concern
Sifaka,Middle Africa,20-25,Endangered
Arctic Wolf,Northern Europe,10-15,Least Concern
Gaur,Southern Asia,20-25,Near Threatened
Brown Hyena,Eastern Africa,12-15,Near Threatened
Lemur,Middle Africa,15-20,Endangered
Warthog,Eastern Africa,15-20,Least Concern
Toucan,South America,10-20,Least Concern
Cheetah,Southern Africa,10-12,Vulnerable
African Grey Parrot,Middle Africa,50-60,Endangered
Asian Black Bear,Eastern Asia,25-30,Near Threatened
Red-footed Tortoise,South America,50-55,Least Concern
Tarantula,South America,15-25,Least Concern
Fossa,Middle Africa,15-20,Endangered
Moose,Northern America,15-20,Least Concern
Black-footed Ferret,Northern America,3-4,Endangered
Vervet Monkey,Eastern Africa,12-15,Least Concern
Aardvark,Southern Africa,10-14,Least Concern
Kookaburra,Australia and New Zealand,10-15,Least Concern
Spotted Hyena,Eastern Africa,20-25,Least Concern
Chimpanzee,Middle Africa,40-50,Endangered
Tasmanian Devil,Australia and New Zealand,5-6,Endangered
Wolverine,Northern Europe,8-12,Least Concern
Okapi,Middle Africa,20-30,Endangered
Caracal,Southern Africa,12-15,Least Concern
Lynx,Northern America,10-12,Least Concern
Gannet,Western Europe,10-15,Least Concern
Bat,South America,5-15,Least Concern
Marmot,Northern America,10-15,Least Concern
Bushbaby,Southern Africa,10-15,Least Concern
Geoffroy’s Cat,South America,10-15,Near Threatened
Mandrill,Middle Africa,40-45,Near Threatened
Moose,Northern America,15-20,Least Concern
Woodpecker,Western Europe,10-20,Least Concern
Lynx,Central Asia,10-15,Near Threatened
Zebu,Northern Africa,18-20,Least Concern
Addax,Eastern Africa,10-12,Critically Endangered
Wildebeest,Eastern Africa,10-15,Least Concern
Fallow Deer,Western Europe,12-20,Least Concern
Kangaroo,Australia and New Zealand,6-8,Least Concern
Aye-Aye,Middle Africa,20-23,Endangered
Gibbon,South Eastern Asia,25-30,Endangered
Bald Ibis,Eastern Africa,10-20,Endangered
Vultures,South Eastern Asia,20-30,Near Threatened
Pygmy Marmoset,South America,6-7,Least Concern
Tamarin,South America,10-12,Least Concern
Mouflon,Western Asia,10-12,Least Concern
Jaguar,Central America,12-15,Near Threatened
Pygmy Owl,South America,10-15,Least Concern
Bison,South America,15-25,Near Threatened
Red Deer,Western Europe,15-25,Least Concern
Lesser Panda,Southern Asia,8-12,Endangered
American Antelope,Northern America,10-15,Least Concern
Binturong,Southern Asia,20-25,Near Threatened
Vulture,Middle Africa,10-15,Near Threatened
Sumatran Tiger,Southern Asia,10-15,Endangered
Golden Jackal,South Eastern Asia,10-14,Least Concern
Kingfisher,Australia and New Zealand,10-15,Least Concern
African Wild Dog,Eastern Africa,6-10,Endangered
Tuatara,Australia and New Zealand,60-100,Least Concern
Raccoon,Northern America,2-3,Least Concern
Javelina,Northern America,10-15,Least Concern
Kea,Australia and New Zealand,20-25,Endangered
Mountain Zebra,Eastern Africa,20-30,Least Concern
Gibbon,South Eastern Asia,20-30,Endangered
